code,name,ipo_date,type,inst,codes,url,title,date,url1,filename
152800.SH,21嘉湘01,2021-04-19,企业债,嘉兴市湘家荡发展投资集团有限公司,152800,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152800&announcementId=1210270279&orgId=9900033294&announcementTime=2021-06-15,21嘉湘01 : 2021年嘉兴市湘家荡发展投资集团有限公司社会领域产业专项债券（第一期）募集说明书,2021-06-15,http://static.cninfo.com.cn/finalpage/2021-06-15/1210270279.pdf,[152800.SH]21嘉湘01 : 2021年嘉兴市湘家荡发展投资集团有限公司社会领域产业专项债券（第一期）募集说明书.pdf
152806.SH,21温铁01,2021-04-19,企业债,温州市铁路与轨道交通投资集团有限公司,152806,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152806&announcementId=1209939517&orgId=9900031089&announcementTime=2021-05-07,21温铁01 : 2021年温州市铁路与轨道交通投资集团有限公司公司债券（第一期）募集说明书,2021-05-07,http://static.cninfo.com.cn/finalpage/2021-05-07/1209939517.pdf,[152806.SH]21温铁01 : 2021年温州市铁路与轨道交通投资集团有限公司公司债券（第一期）募集说明书.pdf
152749.SH,21荔投01,2021-04-19,企业债,莆田市荔城区国有资产投资有限公司,152749,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152749&announcementId=1210240947&orgId=fzqy1062279&announcementTime=2021-06-15,21荔投01 : 2021年莆田市荔城区国有资产投资有限公司公司债券募集说明书,2021-06-15,http://static.cninfo.com.cn/finalpage/2021-06-15/1210240947.pdf,[152749.SH]21荔投01 : 2021年莆田市荔城区国有资产投资有限公司公司债券募集说明书.pdf
152812.SH,G21虞资1,2021-04-22,企业债,绍兴市上虞区国有资本投资运营有限公司,152812,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152812&announcementId=1209784754&orgId=9900036928&announcementTime=2021-04-20,G21虞资1 : 2021年第一期绍兴市上虞区国有资本投资运营有限公司绿色债券募集说明书,2021-04-20,http://static.cninfo.com.cn/finalpage/2021-04-20/1209784754.pdf,[152812.SH]G21虞资1 : 2021年第一期绍兴市上虞区国有资本投资运营有限公司绿色债券募集说明书.pdf
152824.SH,21宁城投,2021-04-22,企业债,宁乡市城市建设投资集团有限公司,152824,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152824&announcementId=1209950928&orgId=fzqy1056292&announcementTime=2021-05-10,21宁城投 : 2021年宁乡市城市建设投资集团有限公司城市停车场建设专项债券募集说明书,2021-05-10,http://static.cninfo.com.cn/finalpage/2021-05-10/1209950928.pdf,[152824.SH]21宁城投 : 2021年宁乡市城市建设投资集团有限公司城市停车场建设专项债券募集说明书.pdf
152821.SH,21湖交投,2021-04-26,企业债,湖州市交通投资集团有限公司,152821,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152821&announcementId=1209825088&orgId=9900006026&announcementTime=2021-04-22,21湖交投 : 2021年湖州市交通投资集团有限公司公司债券募集说明书,2021-04-22,http://static.cninfo.com.cn/finalpage/2021-04-22/1209825088.pdf,[152821.SH]21湖交投 : 2021年湖州市交通投资集团有限公司公司债券募集说明书.pdf
152825.SH,21兴城02,2021-04-26,企业债,成都兴城投资集团有限公司,152825,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152825&announcementId=1210240939&orgId=9900025059&announcementTime=2021-06-15,21兴城02 : 2021年第二期成都兴城投资集团有限公司公司债券募集说明书,2021-06-15,http://static.cninfo.com.cn/finalpage/2021-06-15/1210240939.pdf,[152825.SH]21兴城02 : 2021年第二期成都兴城投资集团有限公司公司债券募集说明书.pdf
152831.SH,21舟山01,2021-04-28,企业债,舟山海城建设投资集团有限公司,152831,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152831&announcementId=1209889027&orgId=9900036870&announcementTime=2021-04-26,21舟山01 : 2021年舟山海城建设投资集团有限公司公司债券（第一期）募集说明书,2021-04-26,http://static.cninfo.com.cn/finalpage/2021-04-26/1209889027.pdf,[152831.SH]21舟山01 : 2021年舟山海城建设投资集团有限公司公司债券（第一期）募集说明书.pdf
152829.SH,21盐资02,2021-04-30,企业债,海盐县国有资产经营有限公司,152829,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152829&announcementId=1209915587&orgId=9900006556&announcementTime=2021-04-28,21盐资02 : 2021年第二期海盐县国有资产经营有限公司公司债券募集说明书,2021-04-28,http://static.cninfo.com.cn/finalpage/2021-04-28/1209915587.pdf,[152829.SH]21盐资02 : 2021年第二期海盐县国有资产经营有限公司公司债券募集说明书.pdf
152836.SH,21湘速01,2021-04-30,企业债,湖南省高速公路集团有限公司,152836,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152836&announcementId=1209915525&orgId=9900009507&announcementTime=2021-04-28,21湘速01 : 2021年第一期湖南省高速公路集团有限公司公司债券募集说明书,2021-04-28,http://static.cninfo.com.cn/finalpage/2021-04-28/1209915525.pdf,[152836.SH]21湘速01 : 2021年第一期湖南省高速公路集团有限公司公司债券募集说明书.pdf
139469.SH,G21港Y1,2021-04-30,企业债,珠海港控股集团有限公司,139469,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=139469&announcementId=1209947677&orgId=9900016288&announcementTime=2021-05-10,G21港Y1 : 2021年第一期珠海港控股集团有限公司绿色可续期公司债券募集说明书,2021-05-10,http://static.cninfo.com.cn/finalpage/2021-05-10/1209947677.pdf,[139469.SH]G21港Y1 : 2021年第一期珠海港控股集团有限公司绿色可续期公司债券募集说明书.pdf
152845.SH,21汉江02,2021-05-06,企业债,汉江国有资本投资集团有限公司,152845,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152845&announcementId=1209926954&orgId=9900022034&announcementTime=2021-04-30,21汉江02 : 2021年第二期汉江国有资本投资集团有限公司公司债券募集说明书,2021-04-30,http://static.cninfo.com.cn/finalpage/2021-04-30/1209926954.pdf,[152845.SH]21汉江02 : 2021年第二期汉江国有资本投资集团有限公司公司债券募集说明书.pdf
152841.SH,21海曙债,2021-05-06,企业债,宁波市海曙开发建设投资集团有限公司,152841,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152841&announcementId=1209931059&orgId=fzqy1060892&announcementTime=2021-04-29,21海曙债 : 2021年宁波市海曙开发建设投资集团有限公司公司债券（第一期）募集说明书,2021-04-29,http://static.cninfo.com.cn/finalpage/2021-04-29/1209931059.pdf,[152841.SH]21海曙债 : 2021年宁波市海曙开发建设投资集团有限公司公司债券（第一期）募集说明书.pdf
152844.SH,21金湖02,2021-05-07,企业债,金湖县国有资产经营投资有限责任公司,152844,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152844&announcementId=1210310409&orgId=9900024741&announcementTime=2021-06-22,21金湖02 : 2021年金湖县国有资产经营投资有限责任公司公司债券（品种一）募集说明书,2021-06-22,http://static.cninfo.com.cn/finalpage/2021-06-22/1210310409.pdf,[152844.SH]21金湖02 : 2021年金湖县国有资产经营投资有限责任公司公司债券（品种一）募集说明书.pdf
152838.SH,21尖山01,2021-05-11,企业债,海宁市尖山新区开发有限公司,152838,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152838&announcementId=1209931188&orgId=9900027587&announcementTime=2021-05-06,21尖山01 : 2021年第一期海宁市尖山新区开发有限公司公司债券募集说明书,2021-05-06,http://static.cninfo.com.cn/finalpage/2021-05-06/1209931188.pdf,[152838.SH]21尖山01 : 2021年第一期海宁市尖山新区开发有限公司公司债券募集说明书.pdf
