code,name,ipo_date,type,inst
168775.SH,G西高热3,2020/11/9,资产支持证券,西安高新区热力有限公司
168777.SH,G西高热5,2020/11/9,资产支持证券,西安高新区热力有限公司
168778.SH,G西高热6,2020/11/9,资产支持证券,西安高新区热力有限公司
168779.SH,G西高热7,2020/11/9,资产支持证券,西安高新区热力有限公司
168780.SH,G西高热8,2020/11/9,资产支持证券,西安高新区热力有限公司
168781.SH,G西高热9,2020/11/9,资产支持证券,西安高新区热力有限公司
168782.SH,G高热次,2020/11/9,资产支持证券,西安高新区热力有限公司
168786.SH,G西高热4,2020/11/9,资产支持证券,西安高新区热力有限公司
152626.SH,G20吉安1,2020/11/10,企业债,吉安市城市建设投资开发有限公司
167981.SH,G20桐庐2,2020/11/10,公司债,桐庐芦茨慢生活体验区旅游开发有限公司
169504.SH,PR0电建A,2020/11/13,资产支持证券,中国电力建设股份有限公司
169505.SH,G20电建C,2020/11/13,资产支持证券,中国电力建设股份有限公司
169621.SH,PR源优3,2020/11/13,资产支持证券,金源华兴融资租赁有限公司
169622.SH,G金源次,2020/11/13,资产支持证券,金源华兴融资租赁有限公司
2080348.IB,20内建绿01,2020/11/16,企业债,内江建工集团有限责任公司
2080349.IB,20内建绿02,2020/11/16,企业债,内江建工集团有限责任公司
177074.SH,G20建湖3,2020/11/16,公司债,建湖县城市建设投资集团有限公司
082000933.IB,20国电绿色ABN001,2020/11/17,资产支持证券,国电电力发展股份有限公司
149289.SZ,20川机G1,2020/11/18,公司债,四川省机场集团有限公司
2080352.IB,20常鼎绿色债02,2020/11/19,企业债,常德市鼎城江南新城建设投资开发有限公司
2080368.IB,20南昌轨交绿色债,2020/11/20,企业债,南昌轨道交通集团有限公司
082000946.IB,20国电绿色ABN002,2020/11/20,资产支持证券,国电电力发展股份有限公司
152648.SH,G20内建1,2020/11/23,企业债,内江建工集团有限责任公司
152649.SH,G20内建2,2020/11/23,企业债,内江建工集团有限责任公司
152644.SH,G20常鼎2,2020/11/24,企业债,常德市鼎城江南新城建设投资开发有限公司
132000036.IB,20佛燃能源GN001,2020/11/24,中期票据,佛燃能源集团股份有限公司
175418.SH,G20水利1,2020/11/26,公司债,贵州省水利投资(集团)有限责任公司
152659.SH,G20洪轨2,2020/11/27,企业债,南昌轨道交通集团有限公司
177218.SH,G20兴市1,2020/11/30,公司债,都江堰兴市集团有限责任公司
177277.SH,G20桂城1,2020/12/3,公司债,桂林新城投资开发集团有限公司
177182.SH,G20安吉2,2020/12/4,公司债,安吉县城西北开发有限公司
132000037.IB,20重庆旅投GN001,2020/12/7,定向工具,重庆旅游投资集团有限公司
177297.SH,20环资债,2020/12/7,公司债,成都天府水城环境资产管理有限公司
2080394.IB,20国通绿债,2020/12/14,企业债,宜都市国通投资开发有限责任公司
175503.SH,G20杭水1,2020/12/15,公司债,杭州市水务集团有限公司
152679.SH,G20国通,2020/12/17,企业债,宜都市国通投资开发有限责任公司
177390.SH,G20盐交1,2020/12/18,公司债,盐城市交通控股集团有限公司
2080402.IB,20金牛环绿债01,2020/12/21,企业债,成都市金牛环境投资发展集团有限公司
177387.SH,G20扬易,2020/12/21,公司债,扬州易盛德产业发展有限公司
177379.SH,G20苏铁1,2020/12/22,公司债,苏州高铁新城经济发展有限公司
152685.SH,G20环投,2020/12/24,企业债,成都市金牛环境投资发展集团有限公司
177428.SH,G20新交1,2020/12/24,公司债,新沂市交通投资有限公司
149263.SZ,20东林G1,2020/12/29,公司债,北京东方园林环境股份有限公司
2080424.IB,20黔水绿色债02,2020/12/30,企业债,黔西南州水资源开发投资有限公司
152701.SH,G20黔水2,2021/1/6,企业债,黔西南州水资源开发投资有限公司
40525.HK,当代置业 9.8% N20230411,2021/1/12,,当代置业(中国)有限公司
40517.HK,禹洲集团 6.35% N20270113,2021/1/14,,禹洲集团控股有限公司
YUFB.SG,建业地产 7.5% N20250714,2021/1/15,,建业地产股份有限公司
132100002.IB,21贵州水投GN001,2021/1/26,中期票据,贵州省水利投资(集团)有限责任公司
132100001.IB,21嘉兴滨海GN001,2021/1/28,中期票据,嘉兴滨海控股集团有限公司
132100003.IB,21鲁能新能GN001,2021/1/28,中期票据,鲁能新能源(集团)有限公司
2180029.IB,21济轨绿债,2021/2/2,企业债,济南轨道交通集团有限公司
40525X.HK,当代置业 9.8% N20230411(重开),2021/2/2,,当代置业(中国)有限公司
132100005.IB,21苏国信GN001,2021/2/3,中期票据,江苏省国信集团有限公司
