code,name,ipo_date,type,inst
175970.SH,21建集Y1,2021-04-22,公司债,厦门建发集团有限公司
175973.SH,21新钢01,2021-04-27,公司债,新余钢铁集团有限公司
175974.SH,21恒健K1,2021-04-19,公司债,广东恒健投资控股有限公司
175979.SH,G21深高1,2021-04-28,公司债,深圳高速公路集团股份有限公司
175980.SH,甬交投04,2021-04-26,公司债,宁波交通投资控股有限公司
175981.SH,甬交投05,2021-04-26,公司债,宁波交通投资控股有限公司
175982.SH,21鲁高02,2021-04-20,公司债,山东高速集团有限公司
175983.SH,21皖投02,2021-04-19,公司债,安徽省投资集团控股有限公司
175984.SH,21国科01,2021-04-23,公司债,中国科学院控股有限公司
175985.SH,21国投电,2021-04-21,公司债,国投电力控股股份有限公司
175986.SH,21财金02,2021-04-21,公司债,山东省财金投资集团有限公司
175989.SH,21皖新01,2021-04-28,公司债,安徽新华发行(集团)控股有限公司
175991.SH,国电投02,2021-04-19,公司债,国家电力投资集团有限公司
175992.SH,21财信02,2021-04-19,公司债,湖南财信投资控股有限责任公司
175995.SH,21宝龙02,2021-04-23,公司债,上海宝龙实业发展(集团)有限公司
175996.SH,21赣交02,2021-04-22,公司债,江西省交通投资集团有限责任公司
175997.SH,21苏交01,2021-04-22,公司债,江苏交通控股有限公司
175998.SH,21龙投01,2021-07-13,公司债,龙岩投资发展集团有限公司
175999.SH,21蓉高02,2021-04-29,公司债,成都高新投资集团有限公司
185000.SH,21环球Y3,2021-11-19,公司债,中国环球租赁有限公司
185001.SH,21莱钢Y1,2021-11-25,公司债,莱芜钢铁集团有限公司
185002.SH,21远东九,2021-11-25,公司债,远东国际融资租赁有限公司
185003.SH,21鲁高06,2021-11-18,公司债,山东高速集团有限公司
185004.SH,21秦发02,2021-11-17,公司债,秦皇岛城市发展投资控股集团有限公司
185005.SH,21鲁高07,2021-11-18,公司债,山东高速集团有限公司
185007.SH,21恒健03,2021-11-25,公司债,广东恒健投资控股有限公司
185009.SH,21中公Y1,2021-11-19,公司债,中交一公局集团有限公司
185011.SH,21诚通19,2021-11-25,公司债,中国诚通控股集团有限公司
185012.SH,21中船01,2021-11-19,公司债,中国船舶工业集团有限公司
185014.SH,21津投12,2021-11-29,公司债,天津城市基础设施建设投资集团有限公司
185016.SH,21电科01,2021-11-25,公司债,中国电子科技集团有限公司
185020.SH,GC核融01,2021-11-26,公司债,中核融资租赁有限公司
185021.SH,G21华新2,2021-11-23,公司债,华电新能源集团股份有限公司
185022.SH,21昆速01,2021-12-09,公司债,昆明市高速公路建设开发股份有限公司
185023.SH,21诚泰01,2021-12-08,公司债,诚泰融资租赁(上海)有限公司
185025.SH,21衢资02,2021-11-29,公司债,衢州市国有资本运营有限公司
185026.SH,21泉城01,2021-11-26,公司债,泉州城建集团有限公司
185027.SH,21金控06,2021-12-06,公司债,江苏金坛投资控股有限公司
185030.SH,21藏建02,2021-11-29,公司债,西藏建工建材集团有限公司
185032.SH,21中豫02,2021-11-26,公司债,中原豫资投资控股集团有限公司
185033.SH,21诚通21,2021-12-03,公司债,中国诚通控股集团有限公司
185038.SH,21铁建Y4,2021-11-26,公司债,中国铁建股份有限公司
185039.SH,21铁建Y3,2021-11-26,公司债,中国铁建股份有限公司
185041.SH,21金隅01,2021-11-26,公司债,北京金隅集团股份有限公司
185042.SH,21核建Y1,2021-12-03,公司债,中国核工业建设股份有限公司
185043.SH,G21综能1,2021-11-26,公司债,国网综合能源服务集团有限公司
185044.SH,21晋中01,2021-11-29,公司债,晋中市公用基础设施投资控股(集团)有限公司
185046.SH,21宁沪G2,2021-11-29,公司债,江苏宁沪高速公路股份有限公司
185047.SH,21瀚蓝01,2021-11-26,公司债,瀚蓝环境股份有限公司
185050.SH,21首农Y3,2021-12-03,公司债,北京首农食品集团有限公司
185051.SH,21格力01,2021-12-13,公司债,珠海格力集团有限公司
185052.SH,21铁工Y7,2021-11-30,公司债,中国中铁股份有限公司
185053.SH,21象金03,2021-12-15,公司债,厦门象屿金象控股集团有限公司
185054.SH,21吴城G1,2021-12-03,公司债,苏州市吴中城市建设投资集团有限公司
185055.SH,21如皋01,2021-12-03,公司债,如皋市城市产业发展集团有限公司
185056.SH,21铁工Y8,2021-11-30,公司债,中国中铁股份有限公司
185057.SH,21舟城03,2021-12-06,公司债,舟山海城建设投资集团有限公司
185058.SH,21豫通Y3,2021-12-06,公司债,河南交通投资集团有限公司
185059.SH,21豫保Y1,2021-12-17,公司债,河南省中豫融资担保有限公司
185060.SH,21昌控01,2021-12-02,公司债,南昌工业控股集团有限公司
185061.SH,21豫通Y4,2021-12-07,公司债,河南交通投资集团有限公司
185062.SH,21中化03,2021-12-06,公司债,中国中化股份有限公司
185063.SH,21中电Y2,2021-12-07,公司债,中国电子信息产业集团有限公司
185064.SH,21中化04,2021-12-06,公司债,中国中化股份有限公司
185065.SH,21华电07,2021-12-02,公司债,中国华电集团有限公司
185066.SH,21华电08,2021-12-02,公司债,中国华电集团有限公司
185067.SH,21华租03,2021-12-13,公司债,华电融资租赁有限公司
185068.SH,21昌投G1,2021-12-15,公司债,昌吉州国有资产投资经营集团有限公司
185069.SH,21创鸿05,2021-12-03,公司债,江苏创鸿资产管理有限公司
185071.SH,21中关Y5,2021-12-08,公司债,中关村发展集团股份有限公司
185073.SH,21兴泸05,2021-12-09,公司债,泸州市兴泸投资集团有限公司
185074.SH,21鲁铁G2,2021-12-10,公司债,山东铁路投资控股集团有限公司
185076.SH,21上控01,2021-12-15,公司债,上饶投资控股集团有限公司
185077.SH,21国新05,2021-12-08,公司债,中国国新控股有限责任公司
185078.SH,21津投14,2021-12-23,公司债,天津城市基础设施建设投资集团有限公司
185081.SH,21巨石01,2021-12-10,公司债,中国巨石股份有限公司
185082.SH,21中船03,2021-12-20,公司债,中国船舶工业集团有限公司
185083.SH,21国新04,2021-12-08,公司债,中国国新控股有限责任公司
185085.SH,21南山02,2021-12-29,公司债,南山集团有限公司
185087.SH,21济轨Y5,2021-12-08,公司债,济南轨道交通集团有限公司
185088.SH,21江铜01,2021-12-14,公司债,江西铜业股份有限公司
185089.SH,21泉城02,2021-12-14,公司债,泉州城建集团有限公司
185090.SH,21绵控Y1,2021-12-17,公司债,绵阳市投资控股(集团)有限公司
185093.SH,21冀通01,2021-12-20,公司债,河北建投交通投资有限责任公司
185094.SH,21泉城03,2021-12-14,公司债,泉州城建集团有限公司
185095.SH,21杭城01,2021-12-20,公司债,杭州市城市建设投资集团有限公司
185096.SH,21杭城02,2021-12-20,公司债,杭州市城市建设投资集团有限公司
185098.SH,21方程Y1,2021-12-14,公司债,中建方程投资发展集团有限公司
185099.SH,21浙商G2,2021-12-20,公司债,浙江省浙商资产管理有限公司
185100.SH,21方程Y2,2021-12-14,公司债,中建方程投资发展集团有限公司
185102.SH,21冀通02,2021-12-20,公司债,河北建投交通投资有限责任公司
185103.SH,21豫投01,2021-12-16,公司债,河南投资集团有限公司
185105.SH,21昆投02,2021-12-28,公司债,昆山国创投资集团有限公司
185107.SH,21万州01,2021-12-15,公司债,重庆万州经济技术开发(集团)有限公司
185109.SH,21唐资01,2021-12-22,公司债,中国大唐集团资本控股有限公司
185111.SH,21江东07,2021-12-23,公司债,江东控股集团有限责任公司
185113.SH,21安租Y5,2021-12-27,公司债,平安国际融资租赁有限公司
185115.SH,21中电Y3,2021-12-15,公司债,中国电子信息产业集团有限公司
185116.SH,21财金04,2021-12-14,公司债,山东省财金投资集团有限公司
185117.SH,21广越09,2021-12-13,公司债,广州越秀集团股份有限公司
185119.SH,21铁建Y6,2021-12-15,公司债,中国铁建股份有限公司
185120.SH,21铁建Y5,2021-12-15,公司债,中国铁建股份有限公司
185121.SH,21广越08,2021-12-13,公司债,广州越秀集团股份有限公司
185122.SH,21天航Y3,2021-12-22,公司债,中交天津航道局有限公司
185124.SH,21市新01,2021-12-14,公司债,上海市北高新股份有限公司
185126.SH,GC华租Y2,2021-12-23,公司债,华电融资租赁有限公司
185127.SH,21皖控01,2021-12-27,公司债,安徽省国有资本运营控股集团有限公司
185128.SH,21延长Y4,2021-12-14,公司债,陕西延长石油(集团)有限责任公司
185130.SH,21特房05,2021-12-22,公司债,厦门经济特区房地产开发集团有限公司
185131.SH,GC华租Y1,2021-12-23,公司债,华电融资租赁有限公司
185132.SH,21红狮03,2021-12-20,公司债,红狮控股集团有限公司
185133.SH,21豫通Y5,2021-12-17,公司债,河南交通投资集团有限公司
185136.SH,21浦土03,2021-12-27,公司债,上海浦东土地控股(集团)有限公司
185137.SH,21大唐Y1,2021-12-17,公司债,中国大唐集团有限公司
185138.SH,21陕旅01,2021-12-23,公司债,陕西旅游集团有限公司
185139.SH,21CHNG1Y,2021-12-16,公司债,中国华能集团有限公司
185140.SH,21浦集05,2021-12-27,公司债,上海浦东发展(集团)有限公司
185141.SH,21石化01,2021-12-27,公司债,中国石油化工集团有限公司
185142.SH,G21苏交1,2021-12-22,公司债,江苏交通控股有限公司
185144.SH,21浦集04,2021-12-27,公司债,上海浦东发展(集团)有限公司
