code,name,ipo_date,type,inst,codes,url,title,date,url1,filename,id,CNum,WNum0,WNum1,WNum2,SNum,Eco,Eco1,Policy,Policy1,VecLen,isGreen,Heter90,DocNum90,Info90,Stdd90
188516.SH,21亦庄05,2021-08-10,公司债,北京亦庄国际投资发展有限公司,188516,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188516&announcementId=1210645095&orgId=GD005079&announcementTime=2021-08-02,21亦庄05 : 北京亦庄国际投资发展有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210645095.pdf,[188516.SH]21亦庄05 : 北京亦庄国际投资发展有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书.pdf,4560,193453,90273,51110,4840,1670,0.93042071197411,2.083333333333333,4.328478964401294,17.01051779935275,339,False,0.8692774263438021,369,0.23646673868603768,0.7866959650587875
188520.SH,21建材03,2021-08-10,公司债,中国建材股份有限公司,188520,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188520&announcementId=1210645111&orgId=gshk0003323&announcementTime=2021-08-02,21建材03 : 中国建材股份有限公司2021年公开发行公司债券（第二期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210645111.pdf,[188520.SH]21建材03 : 中国建材股份有限公司2021年公开发行公司债券（第二期）募集说明书.pdf,4564,285648,136541,73589,6856,2313,2.8621134743812786,6.664234805544643,4.573769571805377,14.2544474998597,351,False,1.2789515949073693,369,0.21573890902077986,0.6967588940462917
188525.SH,21国租02,2021-08-17,公司债,国新融资租赁有限公司,188525,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188525&announcementId=1210645124&orgId=9900042675&announcementTime=2021-08-02,21国租02 : 国新融资租赁有限公司2021年公开发行公司债券（第二期）（面向专业投资者）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210645124.pdf,[188525.SH]21国租02 : 国新融资租赁有限公司2021年公开发行公司债券（第二期）（面向专业投资者）募集说明书.pdf,4569,145400,70923,40828,3744,1420,1.116524563540398,2.309175801867641,5.125862768980917,16.316483962647176,312,False,0.7088946752223899,369,0.2977541184526417,0.8759818905480535
149501.SZ,21广资03,2021-08-13,公司债,广州资产管理有限公司,149501,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=149501&announcementId=1210649939&orgId=fzqy1061981&announcementTime=2021-08-03,21广资03 : 广州资产管理有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书,2021-08-03,http://static.cninfo.com.cn/finalpage/2021-08-03/1210649939.PDF,[149501.SZ]21广资03 : 广州资产管理有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书.pdf,2281,134560,62526,36495,3438,1146,0.3960508076607542,1.046705705960565,3.903929389798863,13.550595490678662,315,False,1.4249912771518956,378,0.2535700636681543,0.8472884547489382
149589.SZ,21深担01,2021-08-16,公司债,深圳担保集团有限公司,149589,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=149589&announcementId=1210638280&orgId=fzqy1055968&announcementTime=2021-08-03,21深担01 : 深圳担保集团有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书,2021-08-03,http://static.cninfo.com.cn/finalpage/2021-08-03/1210638280.PDF,[149589.SZ]21深担01 : 深圳担保集团有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书.pdf,2345,154497,73091,42662,3605,1405,0.4362895993407179,1.6966817752139032,3.756938216545071,14.082458734275397,325,False,1.0956921267818425,378,0.23099196023381774,0.8325656885082162
188487.SH,21国宏01,2021-08-12,公司债,洛阳国宏投资控股集团有限公司,188487,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188487&announcementId=1210649179&orgId=9900037792&announcementTime=2021-08-03,21国宏01 : 洛阳国宏投资集团有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书【以此为准】,2021-08-03,http://static.cninfo.com.cn/finalpage/2021-08-03/1210649179.pdf,[188487.SH]21国宏01 : 洛阳国宏投资集团有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书【以此为准】.pdf,4540,175269,80175,44765,4523,1407,1.107062133862263,2.3986346233682365,2.53701739010102,14.922275012685086,337,False,2.2102956803009026,378,0.18943646619006416,0.828513688732814
188512.SH,21津投04,2021-08-16,公司债,天津城市基础设施建设投资集团有限公司,188512,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188512&announcementId=1210652636&orgId=9900006030&announcementTime=2021-08-03,21津投04 : 天津城市基础设施建设投资集团有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书,2021-08-03,http://static.cninfo.com.cn/finalpage/2021-08-03/1210652636.pdf,[188512.SH]21津投04 : 天津城市基础设施建设投资集团有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书.pdf,4556,181374,82754,47618,4689,1391,2.963635970320376,5.7325805265321135,7.636229908927683,21.740541242131226,315,False,1.5115988722592326,378,0.22550317981304868,0.8884241492068525
149586.SZ,21金街04,2021-08-18,公司债,金融街控股股份有限公司,149586,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=149586&announcementId=1210649942&orgId=gssz0000402&announcementTime=2021-08-04,21金街04 : 金融街控股股份有限公司2021年面向专业投资者公开发行公司债券（第四期）募集说明书,2021-08-04,http://static.cninfo.com.cn/finalpage/2021-08-04/1210649942.PDF,[149586.SZ]21金街04 : 金融街控股股份有限公司2021年面向专业投资者公开发行公司债券（第四期）募集说明书.pdf,2342,182417,85880,46411,4619,1259,0.5315379163713678,1.5946137491141037,3.211374911410348,12.003897944720055,335,False,1.640054783700876,382,0.21765965103302892,0.8126522417994497
149588.SZ,21中海06,2021-08-12,公司债,中海企业发展集团有限公司,149588,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=149588&announcementId=1210651731&orgId=fzqy1055935&announcementTime=2021-08-04,21中海06 : 中海企业发展集团有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书,2021-08-04,http://static.cninfo.com.cn/finalpage/2021-08-04/1210651731.PDF,[149588.SZ]21中海06 : 中海企业发展集团有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书.pdf,2344,240270,108616,59587,4733,1377,0.4466586497165435,1.3227967703143788,2.6627727194640096,9.070606425012883,285,False,-0.3625649113566465,382,0.35144959051169855,0.8164951833061999
152927.SH,21东阳01,2021-07-05,企业债,东阳市国有资产投资有限公司,152927,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152927&announcementId=1210660509&orgId=9900017068&announcementTime=2021-08-04,21东阳01 : 2021年东阳市国有资产投资有限公司公司债券（第一期）募集说明书,2021-08-04,http://static.cninfo.com.cn/finalpage/2021-08-04/1210660509.pdf,[152927.SH]21东阳01 : 2021年东阳市国有资产投资有限公司公司债券（第一期）募集说明书.pdf,1208,147908,68601,38356,3881,1002,0.5889596830326069,2.1149006799807246,4.711677464260855,16.571183808962896,302,False,0.5861799425071952,382,0.2332288409117097,0.6575476140934373
188466.SH,21唐新03,2021-08-13,公司债,中国大唐集团新能源股份有限公司,188466,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188466&announcementId=1210660459&orgId=9900016869&announcementTime=2021-08-04,21唐新03 : 中国大唐集团新能源股份有限公司公开发行2021年公司债券（第三期）募集说明书,2021-08-04,http://static.cninfo.com.cn/finalpage/2021-08-04/1210660459.pdf,[188466.SH]21唐新03 : 中国大唐集团新能源股份有限公司公开发行2021年公司债券（第三期）募集说明书.pdf,4527,179425,83368,47667,4549,1373,3.8233896401261513,22.40031105542835,4.255411068388992,13.716680347345228,344,False,2.1121294716858863,382,0.20684033876570745,0.7929871306222614
188528.SH,21南方06,2021-08-17,公司债,南方水泥有限公司,188528,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188528&announcementId=1210660447&orgId=GD055438&announcementTime=2021-08-04,21南方06 : 南方水泥有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书,2021-08-04,http://static.cninfo.com.cn/finalpage/2021-08-04/1210660447.pdf,[188528.SH]21南方06 : 南方水泥有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书.pdf,4572,217914,103208,57973,5344,1844,2.797128044326462,4.970692511892248,4.685634876801653,15.161502966381017,316,False,1.3904035162990682,382,0.23521451976246854,0.7784885431061176
188541.SH,国电投08,2021-08-13,公司债,国家电力投资集团有限公司,188541,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188541&announcementId=1210657332&orgId=9900005022&announcementTime=2021-08-04,国电投08 : 国家电力投资集团有限公司2021年公开发行公司债券（第八期）募集说明书,2021-08-04,http://static.cninfo.com.cn/finalpage/2021-08-04/1210657332.pdf,[188541.SH]国电投08 : 国家电力投资集团有限公司2021年公开发行公司债券（第八期）募集说明书.pdf,4579,181076,86963,49471,5232,1529,7.529932001168079,16.47824454549247,3.608526970088857,21.42171790914021,357,False,0.8336774305516149,382,0.22527470671971117,0.6754644640996794
